name,fclass,geometry
Antonio's,restaurant,POINT (32.5775986 0.3148442)
Barclays,bank,POINT (32.5821815 0.312785)
Friends Corner,pub,POINT (33.1502235 0.4313939)
Naminya High School,school,POINT (33.1471796 0.471506)
Zabuli Eats and Treats,cafe,POINT (33.2082712 0.4245052)
Victoria Clinic,hospital,POINT (33.2087981 0.4272364)
Rugby Club,pub,POINT (33.2018587 0.4237225)
The Nile Cafe,pub,POINT (33.1624855 0.4845994)
S.O.U.L. Shack,school,POINT (33.1627909 0.4879051)
Kyabirwa Primary School,school,POINT (33.1591755 0.4979291)
Centenary Bank,bank,POINT (32.5629381 0.3533151)
Dr. Lubega,doctors,POINT (32.5629882 0.3506926)
Terraces,restaurant,POINT (32.6106307 0.2967204)
Kam clinic,pharmacy,POINT (32.617777 0.2897376)
Kampala Quality Primary School,school,POINT (32.5851843 0.3652797)
,cinema,POINT (32.624636 0.26404)
Ledo Pub,bar,POINT (32.5583024 0.3804703)
,police,POINT (32.6152845 0.2790794)
Yellow River,restaurant,POINT (32.6072548 0.3003414)
Kiharara Primary School,school,POINT (30.0598189 0.3272773)
Bigo Hut,shelter,POINT (29.9199402 0.3878759)
Bujongolo,shelter,POINT (29.9120172 0.3489018)
Elena Hut,shelter,POINT (29.8823462 0.3727584)
Irene Lake Hut,shelter,POINT (29.8808654 0.3824535)
Nyamuleju Hut,shelter,POINT (29.9414004 0.3812002)
Omukendege resting point,shelter,POINT (29.8892707 0.3754763)
,shelter,POINT (29.9149127 0.3853056)
,pharmacy,POINT (32.5591315 0.3809373)
Zesui Primary School,school,POINT (34.2061138 1.065147)
Rolex Stand,fast_food,POINT (32.6011732 0.2987693)
Bugobero Hillside College,college,POINT (34.272845 0.9113159)
Bubutu Secondary School,school,POINT (34.3248289 0.8193953)
Butiru Comprehensive Secondary School,school,POINT (34.2914357 0.823526)
,fast_food,POINT (32.739877 0.3574574)
Nursery School,school,POINT (34.1952818 0.670377)
District Agricultural Training Institute College,college,POINT (34.1951372 0.6647047)
Uganda Cooperative College,college,POINT (34.1944451 0.6651186)
Tororo Fire Station,fire_station,POINT (34.1877233 0.6895511)
Tororo Police,police,POINT (34.187975 0.6891762)
Eastside Vocational Secondary School,school,POINT (34.1856018 0.6878137)
Sacred Heart Primary School,school,POINT (34.1871299 0.6897521)
Main Canteen,fast_food,POINT (32.7396801 0.356171)
Guild Canteen,fast_food,POINT (32.7397974 0.356338)
